.47], 20/1/100 21:39:44
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, 0.00, -0.07], Temp: [25.13, 77.23], 5/2/25 13:12:30
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, 0.14, -0.14], Temp: [25.20, 77.37], 5/2/25 13:12:32
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, -0.49, -0.14], Temp: [25.09, 77.17], 5/2/25 13:12:33
Accel: [0.04, -0.01, 1.02], Gyro: [0.21, 0.00, -0.14], Temp: [25.13, 77.20], 5/2/25 13:12:34
Accel: [0.03, -0.02, 1.02], Gyro: [0.42, 0.00, 0.07], Temp: [25.10, 77.18], 5/2/25 13:12:36
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.28, -0.14], Temp: [23.38, 74.08], 0/0/80 1:14:10
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.21, -0.21], Temp: [23.46, 74.23], 0/0/80 1:14:11
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.35, -0.21], Temp: [23.45, 74.22], 0/0/80 1:14:13
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.14, -0.14], Temp: [23.44, 74.19], 0/0/80 1:14:14
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.07, -0.07], Temp: [23.41, 74.15], 0/0/80 1:14:16
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.49, -0.35], Temp: [23.43, 74.13], 0/0/80 1:14:17
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.42, -0.21], Temp: [23.45, 74.22], 0/0/80 1:14:18
Accel: [0.04, -0.02, 1.02], Gyro: [0.49, -0.07, -0.07], Temp: [23.45, 74.20], 0/0/80 1:14:20
Accel: [0.04, -0.02, 1.02], Gyro: [0.14, -0.28, -0.14], Temp: [23.44, 74.26], 0/0/80 1:14:21
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.42, -0.21], Temp: [23.48, 74.26], 0/0/80 1:14:23
Accel: [0.03, -0.02, 1.02], Gyro: [0.42, -0.77, -0.28], Temp: [23.48, 74.23], 0/0/80 1:14:24
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, 0.00, -0.21], Temp: [23.45, 74.21], 0/0/80 1:14:26
