Time,Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
4:10:32AM,-1.04,0.56,-0.04,-20.93,-32.2,2.17
4:10:32AM,-0.98,0.56,-0.04,-19.32,-38.64,8.47
4:10:32AM,-0.9,0.54,-0.01,-18.34,-42.28,15.75
4:10:32AM,-0.86,0.57,0.02,-18.34,-39.69,22.47
4:10:32AM,-0.9,0.61,-0.01,-19.39,-37.17,28.14
4:10:32AM,-0.94,0.64,-0.03,-18.76,-37.1,35.91
4:10:32AM,-0.99,0.7,-0.04,-18.13,-39.97,45.08
4:10:32AM,-1,0.72,-0.05,-19.32,-47.88,54.25
4:10:32AM,-0.96,0.73,-0.06,-18.69,-57.19,64.47
4:10:32AM,-0.91,0.71,-0.08,-15.12,-65.17,72.31
4:10:32AM,-0.87,0.7,-0.15,-13.93,-71.47,79.38
4:10:32AM,-0.82,0.66,-0.18,-13.65,-75.88,82.32
4:10:32AM,-0.8,0.63,-0.18,-22.61,-72.8,85.54
4:10:32AM,-0.83,0.61,-0.17,-41.16,-64.89,91.7
4:10:32AM,-0.89,0.6,-0.16,-58.73,-56.14,98.14
4:10:32AM,-0.98,0.59,-0.17,-67.69,-51.59,98.84
4:10:32AM,-1.09,0.58,-0.17,-63.14,-54.67,98.07
4:10:32AM,-1.19,0.55,-0.13,-49.56,-58.17,94.22
4:10:32AM,-1.26,0.52,-0.13,-38.57,-63.21,89.53
4:10:32AM,-1.28,0.47,-0.14,-33.18,-75.6,91.98
4:10:32AM,-1.25,0.43,-0.16,-27.65,-87.64,98.49
4:10:32AM,-1.19,0.38,-0.16,-19.18,-95.13,101.57
4:10:32AM,-1.08,0.4,-0.06,-28.35,-94.85,105.63
4:10:32AM,-1,0.39,0.04,-55.37,-87.71,111.51
4:10:32AM,-0.9,0.4,0.06,-73.99,-69.93,106.4
4:10:32AM,-0.85,0.41,0.02,-86.1,-61.04,102.76
4:10:32AM,-0.8,0.44,-0.02,-89.53,-56.98,105.35
